No.,Time,,Time 1,Time 2,Delay,,Delay 1,Delay 2 ,Jitter,,,
1,0,,0,"0,155911","0,155911",,-629263,785174,1414437,,,
2,"0,155911",,"0,155911","0,941085","785,174",,649707,135467,-514240,,,
3,"0,941085",,"0,941085","1,077,552","135,467",,135364,103,-135261,,,
4,"1,077,552",,"1,077,552","1,077,655",103,,-543,646,1189,,,
5,"1,077,655",,"1,077,655","1,078,301",646,,-212581,213227,425808,,,
6,"1,078,301",,"1,078,301","1,291,528","213,227",,213225,2,-213223,,,
7,"1,291,528",,"1,291,528","1,291,530",2,,1,1,0,,,
8,"1,291,530",,"1,291,530","1,291,531",1,,0,1,1,,,
9,"1,291,531",,"1,291,531","1,291,532",1,,-87,88,175,,,
10,"1,291,532",,"1,291,532","1,291,620",88,,15,73,58,,,
11,"1,291,620",,"1,291,620","1,291,693",73,,45,28,-17,,,
12,"1,291,693",,"1,291,693","1,291,721",28,,-405,433,838,,,
13,"1,291,721",,"1,291,721","1,292,154",433,,391,42,-349,,,
14,"1,292,154",,"1,292,154","1,292,196",42,,-8757,8799,17556,,,
15,"1,292,196",,"1,292,196","1,300,995","8,799",,-177534,186333,363867,,,
16,"1,300,995",,"1,300,995","1,487,328","186,333",,185426,907,-184519,,,
17,"1,487,328",,"1,487,328","1,488,235",907,,306,601,295,,,
18,"1,488,235",,"1,488,235","1,488,836",601,,600,1,-599,,,
19,"1,488,836",,"1,488,836","1,488,837",1,,0,1,1,,,
20,"1,488,837",,"1,488,837","1,488,838",1,,0,1,1,,,
21,"1,488,838",,"1,488,838","1,488,839",1,,1,0,-1,,,
22,"1,488,839",,"1,488,839","1,488,839",0,,-1,1,2,,,
23,"1,488,839",,"1,488,839","1,488,840",1,,-203212,203213,406425,,,
24,"1,488,840",,"1,488,840","1,692,053","203,213",,203213,0,-203213,,,
25,"1,692,053",,"1,692,053","1,692,053",0,,-1,1,2,,,
26,"1,692,053",,"1,692,053","1,692,054",1,,-409660,409661,819321,,,
27,"1,692,054",,"1,692,054","2,101,715","409,661",,402013,7648,-394365,,,
28,"2,101,715",,"2,101,715","2,109,363","7,648",,-189424,197072,386496,,,
29,"2,109,363",,"2,109,363","2,306,435","197,072",,196996,76,-196920,,,
30,"2,306,435",,"2,306,435","2,306,511",76,,-1338680,1338756,2677436,,,
31,"2,306,511",,"2,306,511","3,645,267","1,338,756",,1244037,94719,-1149318,,,
32,"3,645,267",,"3,645,267","3,739,986","94,719",,-930418,1025137,1955555,,,
33,"3,739,986",,"3,739,986","4,765,123","1,025,137",,1025101,36,-1025065,,,
34,"4,765,123",,"4,765,123","4,765,159",36,,-1271202,1271238,2542440,,,
35,"4,765,159",,"4,765,159","6,036,397","1,271,238",,1112509,158729,-953780,,,
36,"6,036,397",,"6,036,397","6,195,126","158,729",,156448,2281,-154167,,,
37,"6,195,126",,"6,195,126","6,197,407","2,281",,130,2151,2021,,,
38,"6,197,407",,"6,197,407","6,199,558","2,151",,1032,1119,87,,,
39,"6,199,558",,"6,199,558","6,200,677","1,119",,405,714,309,,,
40,"6,200,677",,"6,200,677","6,201,391",714,,258,456,198,,,
41,"6,201,391",,"6,201,391","6,201,847",456,,118,338,220,,,
42,"6,201,847",,"6,201,847","6,202,185",338,,295,43,-252,,,
43,"6,202,185",,"6,202,185","6,202,228",43,,-99498,99541,199039,,,
44,"6,202,228",,"6,202,228","6,301,769","99,541",,99539,2,-99537,,,
45,"6,301,769",,"6,301,769","6,301,771",2,,1,1,0,,,
46,"6,301,771",,"6,301,771","6,301,772",1,,0,1,1,,,
47,"6,301,772",,"6,301,772","6,301,773",1,,0,1,1,,,
48,"6,301,773",,"6,301,773","6,301,774",1,,-820,821,1641,,,
49,"6,301,774",,"6,301,774","6,302,595",821,,436,385,-51,,,
50,"6,302,595",,"6,302,595","6,302,980",385,,-352,737,1089,,,
51,"6,302,980",,"6,302,980","6,303,717",737,,578,159,-419,,,
52,"6,303,717",,"6,303,717","6,303,876",159,,-5,164,169,,,
53,"6,303,876",,"6,303,876","6,304,040",164,,-98552,98716,197268,,,
54,"6,304,040",,"6,304,040","6,402,756","98,716",,98715,1,-98714,,,
55,"6,402,756",,"6,402,756","6,402,757",1,,0,1,1,,,
56,"6,402,757",,"6,402,757","6,402,758",1,,0,1,1,,,
57,"6,402,758",,"6,402,758","6,402,759",1,,1,0,-1,,,
58,"6,402,759",,"6,402,759","6,402,759",0,,-635,635,1270,,,
59,"6,402,759",,"6,402,759","6,403,394",635,,463,172,-291,,,
60,"6,403,394",,"6,403,394","6,403,566",172,,170,2,-168,,,
61,"6,403,566",,"6,403,566","6,403,568",2,,0,2,2,,,
62,"6,403,568",,"6,403,568","6,403,570",2,,1,1,0,,,
63,"6,403,570",,"6,403,570","6,403,571",1,,0,1,1,,,
64,"6,403,571",,"6,403,571","6,403,572",1,,-324,325,649,,,
65,"6,403,572",,"6,403,572","6,403,897",325,,-102,427,529,,,
66,"6,403,897",,"6,403,897","6,404,324",427,,281,146,-135,,,
67,"6,404,324",,"6,404,324","6,404,470",146,,-168,314,482,,,
68,"6,404,470",,"6,404,470","6,404,784",314,,312,2,-310,,,
69,"6,404,784",,"6,404,784","6,404,786",2,,1,1,0,,,
70,"6,404,786",,"6,404,786","6,404,787",1,,0,1,1,,,
71,"6,404,787",,"6,404,787","6,404,788",1,,0,1,1,,,
72,"6,404,788",,"6,404,788","6,404,789",1,,0,1,1,,,
73,"6,404,789",,"6,404,789","6,404,790",1,,-254,255,509,,,
74,"6,404,790",,"6,404,790","6,405,045",255,,139,116,-23,,,
75,"6,405,045",,"6,405,045","6,405,161",116,,38,78,40,,,
76,"6,405,161",,"6,405,161","6,405,239",78,,77,1,-76,,,
77,"6,405,239",,"6,405,239","6,405,240",1,,-49,50,99,,,
78,"6,405,240",,"6,405,240","6,405,290",50,,-109,159,268,,,
79,"6,405,290",,"6,405,290","6,405,449",159,,-91,250,341,,,
80,"6,405,449",,"6,405,449","6,405,699",250,,-515,765,1280,,,
81,"6,405,699",,"6,405,699","6,406,464",765,,644,121,-523,,,
82,"6,406,464",,"6,406,464","6,406,585",121,,-11019,11140,22159,,,
83,"6,406,585",,"6,406,585","6,417,725","11,140",,10786,354,-10432,,,
84,"6,417,725",,"6,417,725","6,418,079",354,,-2649,3003,5652,,,
85,"6,418,079",,"6,418,079","6,421,082","3,003",,3001,2,-2999,,,
86,"6,421,082",,"6,421,082","6,421,084",2,,-260,262,522,,,
87,"6,421,084",,"6,421,084","6,421,346",262,,-77,339,416,,,
88,"6,421,346",,"6,421,346","6,421,685",339,,337,2,-335,,,
89,"6,421,685",,"6,421,685","6,421,687",2,,2,0,-2,,,
90,"6,421,687",,"6,421,687","6,421,687",0,,-316,316,632,,,
91,"6,421,687",,"6,421,687","6,422,003",316,,-275,591,866,,,
92,"6,422,003",,"6,422,003","6,422,594",591,,590,1,-589,,,
93,"6,422,594",,"6,422,594","6,422,595",1,,-220,221,441,,,
94,"6,422,595",,"6,422,595","6,422,816",221,,-229,450,679,,,
95,"6,422,816",,"6,422,816","6,423,266",450,,139,311,172,,,
96,"6,423,266",,"6,423,266","6,423,577",311,,-2124,2435,4559,,,
97,"6,423,577",,"6,423,577","6,426,012","2,435",,2434,1,-2433,,,
98,"6,426,012",,"6,426,012","6,426,013",1,,-255,256,511,,,
99,"6,426,013",,"6,426,013","6,426,269",256,,-2834,3090,5924,,,
100,"6,426,269",,"6,426,269","6,429,359","3,090",,-783,3873,4656,,,
101,"6,429,359",,"6,429,359","6,433,232","3,873",,3872,1,-3871,,,
102,"6,433,232",,"6,433,232","6,433,233",1,,-341,342,683,,,
103,"6,433,233",,"6,433,233","6,433,575",342,,-2008,2350,4358,,,
104,"6,433,575",,"6,433,575","6,435,925","2,350",,2088,262,-1826,,,
105,"6,435,925",,"6,435,925","6,436,187",262,,-68719,68981,137700,,,
106,"6,436,187",,"6,436,187","6,505,168","68,981",,68979,2,-68977,,,
107,"6,505,168",,"6,505,168","6,505,170",2,,-373,375,748,,,
108,"6,505,170",,"6,505,170","6,505,545",375,,374,1,-373,,,
109,"6,505,545",,"6,505,545","6,505,546",1,,-2,3,5,,,
110,"6,505,546",,"6,505,546","6,505,549",3,,-144,147,291,,,
111,"6,505,549",,"6,505,549","6,505,696",147,,-24,171,195,,,
112,"6,505,696",,"6,505,696","6,505,867",171,,-163,334,497,,,
113,"6,505,867",,"6,505,867","6,506,201",334,,333,1,-332,,,
114,"6,506,201",,"6,506,201","6,506,202",1,,0,1,1,,,
115,"6,506,202",,"6,506,202","6,506,203",1,,-133,134,267,,,
116,"6,506,203",,"6,506,203","6,506,337",134,,13,121,108,,,
117,"6,506,337",,"6,506,337","6,506,458",121,,-144,265,409,,,
118,"6,506,458",,"6,506,458","6,506,723",265,,264,1,-263,,,
119,"6,506,723",,"6,506,723","6,506,724",1,,-55,56,111,,,
120,"6,506,724",,"6,506,724","6,506,780",56,,-59,115,174,,,
121,"6,506,780",,"6,506,780","6,506,895",115,,-1738,1853,3591,,,
122,"6,506,895",,"6,506,895","6,508,748","1,853",,1852,1,-1851,,,
123,"6,508,748",,"6,508,748","6,508,749",1,,0,1,1,,,
124,"6,508,749",,"6,508,749","6,508,750",1,,0,1,1,,,
125,"6,508,750",,"6,508,750","6,508,751",1,,0,1,1,,,
126,"6,508,751",,"6,508,751","6,508,752",1,,0,1,1,,,
127,"6,508,752",,"6,508,752","6,508,753",1,,0,1,1,,,
128,"6,508,753",,"6,508,753","6,508,754",1,,-2,3,5,,,
129,"6,508,754",,"6,508,754","6,508,757",3,,2,1,-1,,,
130,"6,508,757",,"6,508,757","6,508,758",1,,0,1,1,,,
131,"6,508,758",,"6,508,758","6,508,759",1,,-329,330,659,,,
132,"6,508,759",,"6,508,759","6,509,089",330,,162,168,6,,,
133,"6,509,089",,"6,509,089","6,509,257",168,,48,120,72,,,
134,"6,509,257",,"6,509,257","6,509,377",120,,2,118,116,,,
135,"6,509,377",,"6,509,377","6,509,495",118,,14,104,90,,,
136,"6,509,495",,"6,509,495","6,509,599",104,,-20,124,144,,,
137,"6,509,599",,"6,509,599","6,509,723",124,,-370,494,864,,,
138,"6,509,723",,"6,509,723","6,510,217",494,,493,1,-492,,,
139,"6,510,217",,"6,510,217","6,510,218",1,,0,1,1,,,
140,"6,510,218",,"6,510,218","6,510,219",1,,0,1,1,,,
141,"6,510,219",,"6,510,219","6,510,220",1,,0,1,1,,,
142,"6,510,220",,"6,510,220","6,510,221",1,,0,1,1,,,
143,"6,510,221",,"6,510,221","6,510,222",1,,0,1,1,,,
144,"6,510,222",,"6,510,222","6,510,223",1,,-2,3,5,,,
145,"6,510,223",,"6,510,223","6,510,226",3,,2,1,-1,,,
146,"6,510,226",,"6,510,226","6,510,227",1,,1,0,-1,,,
147,"6,510,227",,"6,510,227","6,510,227",0,,-311,311,622,,,
148,"6,510,227",,"6,510,227","6,510,538",311,,161,150,-11,,,
149,"6,510,538",,"6,510,538","6,510,688",150,,46,104,58,,,
150,"6,510,688",,"6,510,688","6,510,792",104,,-33,137,170,,,
151,"6,510,792",,"6,510,792","6,510,929",137,,10,127,117,,,
152,"6,510,929",,"6,510,929","6,511,056",127,,-29,156,185,,,
153,"6,511,056",,"6,511,056","6,511,212",156,,155,1,-154,,,
154,"6,511,212",,"6,511,212","6,511,213",1,,0,1,1,,,
155,"6,511,213",,"6,511,213","6,511,214",1,,0,1,1,,,
156,"6,511,214",,"6,511,214","6,511,215",1,,-279,280,559,,,
157,"6,511,215",,"6,511,215","6,511,495",280,,135,145,10,,,
158,"6,511,495",,"6,511,495","6,511,640",145,,16,129,113,,,
159,"6,511,640",,"6,511,640","6,511,769",129,,-57,186,243,,,
160,"6,511,769",,"6,511,769","6,511,955",186,,-14227,14413,28640,,,
161,"6,511,955",,"6,511,955","6,526,368","14,413",,14412,1,-14411,,,
162,"6,526,368",,"6,526,368","6,526,369",1,,-331,332,663,,,
163,"6,526,369",,"6,526,369","6,526,701",332,,180,152,-28,,,
164,"6,526,701",,"6,526,701","6,526,853",152,,-2,154,156,,,
165,"6,526,853",,"6,526,853","6,527,007",154,,153,1,-152,,,
166,"6,527,007",,"6,527,007","6,527,008",1,,0,1,1,,,
167,"6,527,008",,"6,527,008","6,527,009",1,,0,1,1,,,
168,"6,527,009",,"6,527,009","6,527,010",1,,-200,201,401,,,
169,"6,527,010",,"6,527,010","6,527,211",201,,60,141,81,,,
170,"6,527,211",,"6,527,211","6,527,352",141,,23,118,95,,,
171,"6,527,352",,"6,527,352","6,527,470",118,,11,107,96,,,
172,"6,527,470",,"6,527,470","6,527,577",107,,-214,321,535,,,
173,"6,527,577",,"6,527,577","6,527,898",321,,320,1,-319,,,
174,"6,527,898",,"6,527,898","6,527,899",1,,-1,2,3,,,
175,"6,527,899",,"6,527,899","6,527,901",2,,-272,274,546,,,
176,"6,527,901",,"6,527,901","6,528,175",274,,65,209,144,,,
177,"6,528,175",,"6,528,175","6,528,384",209,,-88,297,385,,,
178,"6,528,384",,"6,528,384","6,528,681",297,,-2024,2321,4345,,,
179,"6,528,681",,"6,528,681","6,531,002","2,321",,2320,1,-2319,,,
180,"6,531,002",,"6,531,002","6,531,003",1,,-252,253,505,,,
181,"6,531,003",,"6,531,003","6,531,256",253,,-3610,3863,7473,,,
182,"6,531,256",,"6,531,256","6,535,119","3,863",,3861,2,-3859,,,
183,"6,535,119",,"6,535,119","6,535,121",2,,-419,421,840,,,
184,"6,535,121",,"6,535,121","6,535,542",421,,78,343,265,,,
185,"6,535,542",,"6,535,542","6,535,885",343,,-846,1189,2035,,,
186,"6,535,885",,"6,535,885","6,537,074","1,189",,1187,2,-1185,,,
187,"6,537,074",,"6,537,074","6,537,076",2,,-306,308,614,,,
188,"6,537,076",,"6,537,076","6,537,384",308,,-5001,5309,10310,,,
189,"6,537,384",,"6,537,384","6,542,693","5,309",,5307,2,-5305,,,
190,"6,542,693",,"6,542,693","6,542,695",2,,-356,358,714,,,
191,"6,542,695",,"6,542,695","6,543,053",358,,77,281,204,,,
192,"6,543,053",,"6,543,053","6,543,334",281,,-938,1219,2157,,,
193,"6,543,334",,"6,543,334","6,544,553","1,219",,1218,1,-1217,,,
194,"6,544,553",,"6,544,553","6,544,554",1,,-264,265,529,,,
195,"6,544,554",,"6,544,554","6,544,819",265,,117,148,31,,,
196,"6,544,819",,"6,544,819","6,544,967",148,,-6692,6840,13532,,,
197,"6,544,967",,"6,544,967","6,551,807","6,840",,6839,1,-6838,,,
198,"6,551,807",,"6,551,807","6,551,808",1,,0,1,1,,,
199,"6,551,808",,"6,551,808","6,551,809",1,,-378,379,757,,,
200,"6,551,809",,"6,551,809","6,552,188",379,,230,149,-81,,,
201,"6,552,188",,"6,552,188","6,552,337",149,,-167,316,483,,,
202,"6,552,337",,"6,552,337","6,552,653",316,,130,186,56,,,
203,"6,552,653",,"6,552,653","6,552,839",186,,-4937,5123,10060,,,
204,"6,552,839",,"6,552,839","6,557,962","5,123",,5122,1,-5121,,,
205,"6,557,962",,"6,557,962","6,557,963",1,,-346,347,693,,,
206,"6,557,963",,"6,557,963","6,558,310",347,,275,72,-203,,,
207,"6,558,310",,"6,558,310","6,558,382",72,,-84,156,240,,,
208,"6,558,382",,"6,558,382","6,558,538",156,,-2891,3047,5938,,,
209,"6,558,538",,"6,558,538","6,561,585","3,047",,2814,233,-2581,,,
210,"6,561,585",,"6,561,585","6,561,818",233,,84,149,65,,,
211,"6,561,818",,"6,561,818","6,561,967",149,,148,1,-147,,,
212,"6,561,967",,"6,561,967","6,561,968",1,,-156,157,313,,,
213,"6,561,968",,"6,561,968","6,562,125",157,,49,108,59,,,
214,"6,562,125",,"6,562,125","6,562,233",108,,-135,243,378,,,
215,"6,562,233",,"6,562,233","6,562,476",243,,240,3,-237,,,
216,"6,562,476",,"6,562,476","6,562,479",3,,-262,265,527,,,
217,"6,562,479",,"6,562,479","6,562,744",265,,140,125,-15,,,
218,"6,562,744",,"6,562,744","6,562,869",125,,-1202,1327,2529,,,
219,"6,562,869",,"6,562,869","6,564,196","1,327",,732,595,-137,,,
220,"6,564,196",,"6,564,196","6,564,791",595,,428,167,-261,,,
221,"6,564,791",,"6,564,791","6,564,958",167,,-2350,2517,4867,,,
222,"6,564,958",,"6,564,958","6,567,475","2,517",,2515,2,-2513,,,
223,"6,567,475",,"6,567,475","6,567,477",2,,1,1,0,,,
